Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Sebastian Aho,25,CAR,F,75,36,31,67,8,42,8.2,26,7,3,9,22,8,1,218,16.5,1462,21,59,1274,889,58.9,-2,991,697,58.7,-1.5,9.6,88.6,98.2,59,41,63,63,12.5,377,57.8,8460250
Josh Anderson,28,MTL,RW,69,21,11,32,-8,72,2.8,16,4,1,5,11,0,0,164,12.8,1170,49,139,829,1051,44.1,-1.6,601,771,43.8,-2.1,11.6,89.6,101.2,48,52,30,25,-8.6,281,58.4,5500000
Wade Allison,25,PHI,RW,60,9,6,15,-3,36,1,9,0,0,2,6,0,0,89,10.1,774,62,190,674,782,46.3,-0.5,533,552,49.1,1.9,6.1,93,99.1,46.8,53.2,20,7,-2.9,157,56.7,785000
Josh Archibald,30,PIT,RW,62,6,6,12,6,43,0.9,6,0,0,0,6,0,0,71,8.5,619,28,195,452,447,50.3,-2.6,356,317,52.9,0.3,8.9,93.1,102,28.3,71.7,14,5,1.7,112,63.4,900000
Joel Armia,29,MTL,RW,43,7,7,14,-7,22,0.7,6,0,1,0,6,1,0,69,10.1,643,25,37,429,515,45.4,0,311,390,44.4,-1.2,6.8,91.6,98.5,44.2,55.8,18,13,-8.2,126,54.8,3400000
Viktor Arvidsson,29,LAK,LW,77,26,33,59,-4,24,5.7,15,10,1,2,18,15,0,228,11.4,1316,48,25,1132,1019,52.6,0.7,859,721,54.4,1.5,8.2,90.2,98.5,48,52,19,35,9.7,418,54.5,4250000
Rasmus Asplund,25,TOT,F,46,2,6,8,-6,4,-0.1,1,0,1,0,6,0,0,54,3.7,504,11,23,371,447,45.4,-4.4,285,340,45.6,-2.8,7.7,90.7,98.4,31.5,68.5,8,4,-6.9,76,71.1,825000
Nicolas Aube-Kubel,26,TOT,RW,53,4,8,12,1,40,0.7,4,0,0,0,8,0,0,67,6,602,9,117,544,506,51.8,2.8,394,367,51.8,2.9,7.5,91.7,99.2,31.5,68.5,14,18,3.9,133,50.4,1000000
Alexander Barabanov,28,SJS,F,68,15,32,47,-30,20,3,12,3,0,2,22,10,0,120,12.5,1228,37,40,952,957,49.9,0.9,689,718,49,0.2,10.7,85,95.7,49.9,50.1,28,35,1.8,217,55.3,2500000
Nathan Bastian,25,NJD,RW,43,6,9,15,7,31,1.3,6,0,0,1,9,0,0,62,9.7,535,38,99,443,437,50.3,-4,329,302,52.1,-2.8,7.8,94.5,102.3,36.1,63.9,11,6,2.1,102,60.8,825000
Anthony Beauvillier,25,TOT,LW,82,18,22,40,-10,24,3,15,3,0,5,21,1,0,176,10.2,1334,30,78,1087,1082,50.1,1.5,802,824,49.3,0.5,10.3,89.2,99.5,57,43,32,34,-0.6,285,61.8,4150000
Pierre-Édouard Bellemare,37,TBL,LW,73,4,9,13,-9,34,-0.1,4,0,0,0,7,0,2,51,7.8,824,48,67,523,569,47.9,-3.9,407,431,48.6,-3.1,6.8,91,97.8,46.1,53.9,30,21,-5.1,87,58.6,1000000
Kieffer Bellows,24,TOT,LW,28,3,0,3,-8,6,-0.1,3,0,0,1,0,0,0,32,9.4,271,10,48,214,269,44.3,-4.5,161,172,48.3,0.7,5.2,87.8,93,50,50,5,8,-1.5,62,51.6,1200000
Alex Belzile,31,MTL,F,31,6,8,14,0,13,1.3,6,0,0,0,8,0,0,40,15,376,22,27,250,357,41.2,-2.8,185,249,42.6,-1.5,13.7,89.4,103.1,39.7,60.3,8,13,-4.9,67,59.7,750000
Jamie Benn,33,DAL,LW,82,33,45,78,23,34,9.5,18,13,2,4,27,17,1,190,17.4,1294,38,97,957,984,49.3,-3.1,692,762,47.6,-4.3,14.1,91.2,105.4,56.1,43.9,55,48,5.4,330,57.6,9500000
Jonatan Berggren,22,DET,RW,67,15,13,28,-14,16,2.2,10,5,0,0,9,4,0,98,15.3,902,28,20,630,702,47.3,0.2,490,502,49.4,2.3,8.8,89,97.9,50.4,49.6,16,26,-1.6,158,62,925000
Tyler Bertuzzi,27,TOT,LW,50,8,22,30,-8,29,2,4,4,0,0,16,6,0,107,7.5,824,22,54,690,624,52.5,5.3,530,476,52.7,4.9,9.4,88.8,98.2,50,50,19,29,3.3,181,59.1,2375000
Anders Bjork,26,TOT,LW,14,2,6,8,4,2,0.9,2,0,0,0,6,0,0,15,13.3,194,4,8,151,150,50.2,3.3,110,113,49.3,2.8,10.1,94,104.1,50,50,6,10,0.3,27,55.6,1600000
Oliver Bjorkstrand,27,SEA,RW,81,20,25,45,-1,16,3.9,15,5,0,1,20,5,0,198,10.1,1266,38,63,1050,903,53.8,1.9,785,658,54.4,2,9.6,89.2,98.8,55.1,44.9,56,20,2.4,358,55.3,5400000
Brock Boeser,25,VAN,RW,74,18,37,55,-20,24,3.9,12,6,0,3,27,10,0,178,10.1,1276,32,49,966,975,49.8,1.8,735,750,49.5,1.3,11.5,85.5,97,53.6,46.4,23,21,-4.3,309,57.6,6650000
Jesper Bratt,24,NJD,W,82,32,41,73,14,6,8.1,24,8,0,3,27,14,0,212,15.1,1424,23,24,1422,985,59.1,6.9,1059,733,59.1,6.5,10.2,89,99.2,59.2,40.8,41,44,20.7,381,55.6,5450000
